Event: 1	 Baseline: 1896.2	 Amplitude: 104.8	 Rise: 0
Event: 2	 Baseline: 1436.28	 Amplitude: 311.72	 Rise: 475
Event: 3	 Baseline: 2010.89	 Amplitude: 361.11	 Rise: 450
Event: 4	 Baseline: 1932.64	 Amplitude: 86.365	 Rise: 0
Event: 5	 Baseline: 1890.37	 Amplitude: 565.63	 Rise: 500
Event: 6	 Baseline: 1361.03	 Amplitude: 686.97	 Rise: 375
Event: 7	 Baseline: 1867.45	 Amplitude: 1916.55	 Rise: 425
Event: 8	 Baseline: 1849.74	 Amplitude: 421.26	 Rise: 475
Event: 9	 Baseline: 1453.41	 Amplitude: 495.585	 Rise: 375
Event: 10	 Baseline: 1305.56	 Amplitude: 561.44	 Rise: 450
Event: 11	 Baseline: 1816.69	 Amplitude: 69.31	 Rise: 525
Event: 12	 Baseline: 1521.72	 Amplitude: 279.275	 Rise: 525
Event: 13	 Baseline: 1353.71	 Amplitude: 227.29	 Rise: 0
Event: 14	 Baseline: 1507.16	 Amplitude: 60.835	 Rise: 0
Event: 15	 Baseline: 1950	 Amplitude: 775.005	 Rise: 450
Event: 16	 Baseline: 1746.96	 Amplitude: 436.04	 Rise: 500
Event: 17	 Baseline: 1777.39	 Amplitude: 964.61	 Rise: 400
Event: 18	 Baseline: 1617.83	 Amplitude: 477.17	 Rise: 500
Event: 19	 Baseline: 1280.68	 Amplitude: 225.315	 Rise: 500
Event: 20	 Baseline: 1356.04	 Amplitude: 83.96	 Rise: 0
Event: 21	 Baseline: 1736.4	 Amplitude: 524.595	 Rise: 350
Event: 22	 Baseline: 1816.9	 Amplitude: 345.105	 Rise: 475
Event: 23	 Baseline: 1412.16	 Amplitude: 978.845	 Rise: 225
Event: 24	 Baseline: 1262.62	 Amplitude: 62.375	 Rise: 350
Event: 25	 Baseline: 1666.66	 Amplitude: 1850.34	 Rise: 450
Event: 26	 Baseline: 1784.29	 Amplitude: 192.71	 Rise: 500
Event: 27	 Baseline: 1613.72	 Amplitude: 384.28	 Rise: 475
Event: 28	 Baseline: 1444.89	 Amplitude: 116.11	 Rise: 0
Event: 29	 Baseline: 1798.02	 Amplitude: 231.98	 Rise: 475
Event: 30	 Baseline: 1654.85	 Amplitude: 419.155	 Rise: 250
Event: 31	 Baseline: 1148.68	 Amplitude: 575.32	 Rise: 525
Event: 32	 Baseline: 1516.4	 Amplitude: 544.6	 Rise: 450
Event: 33	 Baseline: 1666.45	 Amplitude: 389.555	 Rise: 425
Event: 34	 Baseline: 1742.65	 Amplitude: 268.35	 Rise: 425
Event: 35	 Baseline: 1748.22	 Amplitude: 864.785	 Rise: 400
Event: 36	 Baseline: 1503.87	 Amplitude: 2638.14	 Rise: 450
Event: 37	 Baseline: 1697.7	 Amplitude: 343.3	 Rise: 475
Event: 38	 Baseline: 1631.31	 Amplitude: 321.695	 Rise: 375
Event: 39	 Baseline: 1773.69	 Amplitude: 480.315	 Rise: 350
Event: 40	 Baseline: 1682.29	 Amplitude: 78.71	 Rise: 400
Event: 41	 Baseline: 1971.46	 Amplitude: 95.54	 Rise: 0
Event: 42	 Baseline: 1819.64	 Amplitude: 692.36	 Rise: 650
Event: 43	 Baseline: 1979.06	 Amplitude: 80.945	 Rise: 0
Event: 44	 Baseline: 2038.83	 Amplitude: 463.175	 Rise: 425
Event: 45	 Baseline: 1963.21	 Amplitude: 1616.79	 Rise: 450
Event: 46	 Baseline: 1907.39	 Amplitude: 3791.61	 Rise: 375
Event: 47	 Baseline: 1443.95	 Amplitude: 820.045	 Rise: 325
Event: 48	 Baseline: 1789.37	 Amplitude: 93.63	 Rise: 0
Event: 49	 Baseline: 1663.43	 Amplitude: 452.575	 Rise: 400
Event: 50	 Baseline: 1728.58	 Amplitude: 229.42	 Rise: 475
Event: 51	 Baseline: 1481.77	 Amplitude: 559.23	 Rise: 450
Event: 52	 Baseline: 2013.29	 Amplitude: 1455.71	 Rise: 375
Event: 53	 Baseline: 1671.72	 Amplitude: 556.28	 Rise: 550
Event: 54	 Baseline: 1482.03	 Amplitude: 91.97	 Rise: 0
Event: 55	 Baseline: 1646.96	 Amplitude: 81.04	 Rise: 25
Event: 56	 Baseline: 1667.25	 Amplitude: 193.755	 Rise: 25
Event: 57	 Baseline: 1426.92	 Amplitude: 730.08	 Rise: 400
Event: 58	 Baseline: 1763.39	 Amplitude: 526.605	 Rise: 450
Event: 59	 Baseline: 1500.22	 Amplitude: 53826.8	 Rise: 0
